Date,"GLD,IEF,LQD,QQQ,TIP,VNQ","GLD,IEF,QQQ,TIP,VNQ","GLD,IEF,LQD,QQQ,VNQ","GLD,IEF,QQQ,VNQ","GLD,IEF,QQQ,TIP,TLT,VNQ"
2005-10-03,100000.0,100000.0,100000.0,100000.0,100000.0
2005-10-04,99788.40232468415,99603.11940579406,99728.2430925991,99311.77749479341,99603.11940579406
2005-10-05,99481.84126347816,99055.86876947142,99293.6904739805,98286.83905160878,99055.86876947142
2005-10-06,99330.86040685432,98942.5358737138,99194.86242504555,98312.52209966806,98942.5358737138
2005-10-07,99416.86983055959,98985.62066778519,99246.64349804666,98247.86119112321,98985.62066778519
2005-10-10,99243.87413662687,98754.27230662538,98945.79175947998,97706.08441335418,98754.27230662538
2005-10-11,98989.26261111535,98451.9332279205,98714.33119178316,97407.93404447807,98451.9332279205
2005-10-12,98295.23082929698,97612.84323269462,97857.59882012257,96112.37724966758,97612.84323269462
2005-10-13,98370.39247999208,97816.50234759148,97986.89296794089,96537.6427596703,97816.50234759148
2005-10-14,98615.16091714059,98300.82500570746,98246.57028227934,97263.92868474762,98300.82500570746
2005-10-17,98923.9978971074,98701.77855884444,98606.94940209684,97850.90471859276,98701.77855884444
2005-10-18,98747.95033056401,98360.80763141315,98323.52334683997,97145.22311792718,98360.80763141315
2005-10-19,99005.82386729268,98703.0206429475,98690.61577348126,97782.2658121716,98703.0206429475
2005-10-20,98545.662935377,98128.65712647108,98056.89080943132,96755.29939540075,98128.65712647108
2005-10-21,99123.84842891713,98735.62440068836,98749.92673288764,97618.71854651406,98735.62440068836
2005-10-24,99225.09799417444,99094.46895419384,99086.10008326321,98680.1126950068,99094.46895419384
2005-10-25,98965.1025732978,98957.9907805655,98940.67133567705,98887.82796147747,98957.9907805655
2005-10-26,98579.65536988208,98523.07758524468,98515.96580732778,98327.98212614284,98523.07758524468
2005-10-27,98418.03736413489,98233.65126543479,98103.01144467825,97411.0664210283,98233.65126543479
2005-10-28,98781.31185567926,98793.60485092826,98643.62600909734,98505.97737325392,98793.60485092826
2005-10-31,98905.28442509031,99000.10411912859,98703.36693251041,98656.27638355092,99000.10411912859
2005-11-01,98462.60973851662,98388.89004548195,98111.93134593328,97585.87103443932,98388.89004548195
2005-11-02,99497.98471413653,99423.48982810645,99143.61879353484,98612.02674076737,99423.48982810645
2005-11-03,99846.23954109121,99771.48391406506,99490.63329745473,98957.18060902835,99771.48391406506
2005-11-04,99473.43765095537,99398.96114349527,99119.15915566856,98587.69825152427,99398.96114349527
2005-11-07,99848.80121252572,99774.04366755697,99493.18584539734,98959.71947062164,99774.04366755697
2005-11-08,99894.4849938798,99819.69324512195,99538.70692219734,99004.99647076844,99819.69324512195
2005-11-09,100722.43181413357,100647.0201753931,100363.70497783029,99825.5710202266,100647.0201753931
2005-11-10,101707.84412687397,101631.69470255786,101345.60770650847,100802.20894524411,101631.69470255786
